?#?#?#?#?#?#?#???#?#?#?#?#?#?#???#?#?#?#?#?#?#???#?#?#?#?#?#?#???#?#?#?#?#?#?#?;1,3,1,6,1,3,1,6,1,3,1,6,1,3,1,6,1,3,1,6;1;0
???.###????.###????.###????.###????.###;1,1,3,1,1,3,1,1,3,1,1,3,1,1,3;1;3
????.#...#...?????.#...#...?????.#...#...?????.#...#...?????.#...#...;4,1,1,4,1,1,4,1,1,4,1,1,4,1,1;16;9
.??..??...?##.?.??..??...?##.?.??..??...?##.?.??..??...?##.?.??..??...?##.;1,1,3,1,1,3,1,1,3,1,1,3,1,1,3;16384;10
????.######..#####.?????.######..#####.?????.######..#####.?????.######..#####.?????.######..#####.;1,6,5,1,6,5,1,6,5,1,6,5,1,6,5;2500;9
?###??????????###??????????###??????????###??????????###????????;3,2,1,3,2,1,3,2,1,3,2,1,3,2,1;506250;19
#.?????#??#.##???.??#.?????#??#.##???.??#.?????#??#.##???.??#.?????#??#.##???.??#.?????#??#.##???.?;1,1,7,5,1,1,7,5,1,1,7,5,1,1,7,5,1,1,7,5;16;0
.?.#?#?.?#???#.??.?.#?#?.?#???#.??.?.#?#?.?#???#.??.?.#?#?.?#???#.??.?.#?#?.?#???#.?;1,4,6,1,4,6,1,4,6,1,4,6,1,4,6;81;2
?#?...?#?????#?.???#?...?#?????#?.???#?...?#?????#?.???#?...?#?????#?.???#?...?#?????#?.?;2,8,2,8,2,8,2,8,2,8;1024;5
###?#.#?#?????.#?????###?#.#?#?????.#?????###?#.#?#?????.#?????###?#.#?#?????.#?????###?#.#?#?????.#????;5,1,2,2,4,5,1,2,2,4,5,1,2,2,4,5,1,2,2,4,5,1,2,2,4;32;0
?#.##??.???????#.##??.???????#.##??.???????#.##??.???????#.##??.?????;2,4,4,2,4,4,2,4,4,2,4,4,2,4,4;32;0
?.???#?#.?????#?.???.???#?#.?????#?.???.???#?#.?????#?.???.???#?#.?????#?.???.???#?#.?????#?.?;6,5,6,5,6,5,6,5,6,5;32;3
.?#?????????.?#?????????.?#?????????.?#?????????.?#????????;1,4,1,4,1,4,1,4,1,4;52592;11
?#?#?????????###??#?#?????????###??#?#?????????###??#?#?????????###??#?#?????????###;8,6,8,6,8,6,8,6,8,6;162;0
??#.????#???.#?#???#.????#???.#?#???#.????#???.#?#???#.????#???.#?#???#.????#???.#?#;1,5,1,1,1,1,5,1,1,1,1,5,1,1,1,1,5,1,1,1,1,5,1,1,1;14763;18
?##?##??#???##?##??#???##?##??#???##?##??#???##?##??#?;7,1,7,1,7,1,7,1,7,1;16;0
#????#???#???#?#??#????#???#???#?#??#????#???#???#?#??#????#???#???#?#??#????#???#???#?#?;2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3;50000;11
?????..???##???????..???##???????..???##???????..???##???????..???##?;2,3,2,3,2,3,2,3,2,3;121352;19
??????#???.???????#???.???????#???.???????#???.???????#???.;1,7,1,7,1,7,1,7,1,7;5772;6
??#??.??#.?#????#??.??#.?#????#??.??#.?#????#??.??#.?#????#??.??#.?#?;2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2;23430;6
?#.#.???#???.???#.#.???#???.???#.#.???#???.???#.#.???#???.???#.#.???#???.?;1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,4;77187;6
.?##???##?????###????.?##???##?????###????.?##???##?????###????.?##???##?????###????.?##???##?????###???;15,2,15,2,15,2,15,2,15,2;16;0
??#?#??#.?#.??#????#?#??#.?#.??#????#?#??#.?#.??#????#?#??#.?#.??#????#?#??#.?#.??#?;5,1,1,2,5,1,1,2,5,1,1,2,5,1,1,2,5,1,1,2;1024;41
?.#???#.?#?##??.#???#.?#?##??.#???#.?#?##??.#???#.?#?##??.#???#.?#?##;1,1,2,5,1,1,2,5,1,1,2,5,1,1,2,5,1,1,2,5;1;5
??#????????????#????#????????????#????#????????????#????#????????????#????#????????????#?;6,7,6,7,6,7,6,7,6,7;89378;90
##.?...????????#?#??##.?...????????#?#??##.?...????????#?#??##.?...????????#?#??##.?...????????#?#?;2,9,2,9,2,9,2,9,2,9;254;1
??????##.??.????.????????##.??.????.????????##.??.????.????????##.??.????.????????##.??.????.?;8,2,1,8,2,1,8,2,1,8,2,1,8,2,1;59049;6
??#?#???#???????#?#???#???????#?#???#???????#?#???#???????#?#???#????;4,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1;148543;16
?.?.?.?#?#?.????#?.??.?.?.?#?#?.????#?.??.?.?.?#?#?.????#?.??.?.?.?#?#?.????#?.??.?.?.?#?#?.????#?.;4,6,4,6,4,6,4,6,4,6;32;0
?.?.??#?.???.?.??#?.???.?.??#?.???.?.??#?.???.?.??#?.?;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;471108;63
